"filename", "language", "Markdown", "TypeScript", "JSON", "HTML", "TypeScript JSX", "JavaScript", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\dev\terminal-sheet\src\web\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1753, 8, 303, 2064
"c:\dev\terminal-sheet\src\web\terminals\TerminalFocusSurface.test.ts", "TypeScript", 0, 1675, 0, 0, 0, 0, 0, 0, 1, 279, 1955
"c:\dev\terminal-sheet\src\web\terminals\TerminalFocusSurface.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 5, 108
"c:\dev\terminal-sheet\src\web\terminals\TerminalPlaceholderNode.test.ts", "TypeScript", 0, 356, 0, 0, 0, 0, 0, 0, 1, 43, 400
"c:\dev\terminal-sheet\src\web\terminals\TerminalPlaceholderNode.tsx", "TypeScript JSX", 0, 0, 0, 0, 360, 0, 0, 0, 0, 25, 385
"c:\dev\terminal-sheet\src\web\terminals\TerminalTitleBar.test.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 0, 1, 19, 125
"c:\dev\terminal-sheet\src\web\terminals\TerminalTitleBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 0, 16, 188
"c:\dev\terminal-sheet\src\web\terminals\autoMarkRead.test.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\dev\terminal-sheet\src\web\terminals\autoMarkRead.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\terminal-sheet\src\web\terminals\incrementalWrite.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 13, 53
"c:\dev\terminal-sheet\src\web\terminals\presentation.test.ts", "TypeScript", 0, 161, 0, 0, 0, 0, 0, 0, 0, 19, 180
"c:\dev\terminal-sheet\src\web\terminals\presentation.ts", "TypeScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 33, 161
